pid	term	grp	duration
643321	202130	Dropped Out	1
643321	202140	Dropped Out	1
647582	start	Starting Cohort	1
647582	201150	Freshman	1
647582	201230	Freshman	1
647582	201240	Freshman	1
647582	201250	Freshman	1
647582	201330	Dropped Out	1
647582	201340	Dropped Out	1
647582	201350	Dropped Out	1
647582	201430	Dropped Out	1
647582	201440	Dropped Out	1
647582	201450	Dropped Out	1
647582	201530	Dropped Out	1
647582	201540	Dropped Out	1
647582	201550	Dropped Out	1
647582	201630	Dropped Out	1
647582	201640	Dropped Out	1
647582	201650	Dropped Out	1
647582	201730	Dropped Out	1
647582	201740	Dropped Out	1
647582	201750	Dropped Out	1
647582	201830	Dropped Out	1
647582	201840	Dropped Out	1
647582	201850	Dropped Out	1
647582	201930	Dropped Out	1
647582	201940	Dropped Out	1
647582	201950	Dropped Out	1
647582	202030	Dropped Out	1
647582	202040	Dropped Out	1
647582	202050	Dropped Out	1
647582	202130	Dropped Out	1
647582	202140	Dropped Out	1
649244	start	Starting Cohort	1
649244	201150	Freshman	1
649244	201230	Freshman	1
649244	201240	Freshman	1
649244	201250	Freshman	1
649244	201330	Dropped Out	1
649244	201340	Dropped Out	1
649244	201350	Dropped Out	1
649244	201430	Dropped Out	1
649244	201440	Dropped Out	1
649244	201450	Dropped Out	1
649244	201530	Dropped Out	1
649244	201540	Dropped Out	1
649244	201550	Dropped Out	1
649244	201630	Dropped Out	1
649244	201640	Dropped Out	1
649244	201650	Dropped Out	1
649244	201730	Dropped Out	1
649244	201740	Dropped Out	1
649244	201750	Dropped Out	1
649244	201830	Dropped Out	1
649244	201840	Dropped Out	1
649244	201850	Dropped Out	1
649244	201930	Dropped Out	1
649244	201940	Dropped Out	1
649244	201950	Dropped Out	1
649244	202030	Dropped Out	1
649244	202040	Dropped Out	1
649244	202050	Dropped Out	1
649244	202130	Dropped Out	1
649244	202140	Dropped Out	1
650122	start	Starting Cohort	1
650122	201150	Freshman	1
650122	201230	Sabbatical	1
650122	201240	Sabbatical	1
650122	201250	Dropped Out	1
650122	201330	Dropped Out	1
650122	201340	Dropped Out	1
650122	201350	Dropped Out	1
650122	201430	Dropped Out	1
650122	201440	Dropped Out	1
650122	201450	Dropped Out	1
650122	201530	Dropped Out	1
650122	201540	Dropped Out	1
650122	201550	Dropped Out	1
650122	201630	Dropped Out	1
650122	201640	Dropped Out	1
650122	201650	Dropped Out	1
650122	201730	Dropped Out	1
650122	201740	Dropped Out	1
650122	201750	Dropped Out	1
650122	201830	Dropped Out	1
650122	201840	Dropped Out	1
650122	201850	Dropped Out	1
650122	201930	Dropped Out	1
650122	201940	Dropped Out	1
650122	201950	Dropped Out	1
650122	202030	Dropped Out	1
650122	202040	Dropped Out	1
650122	202050	Dropped Out	1
650122	202130	Dropped Out	1
650122	202140	Dropped Out	1
663822	start	Starting Cohort	1
663822	201150	Freshman	1
663822	201230	Freshman	1
663822	201240	Freshman	1
663822	201250	Freshman	1
663822	201330	Freshman	1
663822	201340	Freshman	1
663822	201350	Sophomore	1
663822	201430	Sophomore	1
663822	201440	Sophomore	1
663822	201450	Junior	1
663822	201530	Junior	1
663822	201540	Senior	1
663822	201550	Senior	1
663822	201630	Graduated	1
663822	201640	Graduated	1
663822	201650	Graduated	1
663822	201730	Graduated	1
663822	201740	Graduated	1
663822	201750	Graduated	1
663822	201830	Graduated	1
663822	201840	Graduated	1
663822	201850	Graduated	1
663822	201930	Graduated	1
663822	201940	Graduated	1
663822	201950	Graduated	1
663822	202030	Graduated	1
663822	202040	Graduated	1
663822	202050	Graduated	1
663822	202130	Graduated	1
663822	202140	Graduated	1
663913	start	Starting Cohort	1
663913	201150	Freshman	1
663913	201230	Transferred Out	1
663913	201240	Transferred Out	1
663913	201250	Transferred Out	1
663913	201330	Transferred Out	1
663913	201340	Transferred Out	1
663913	201350	Transferred Out	1
663913	201430	Transferred Out	1
663913	201440	Transferred Out	1
663913	201450	Transferred Out	1
663913	201530	Transferred Out	1
663913	201540	Transferred Out	1
663913	201550	Transferred Out	1
663913	201630	Transferred Out	1
663913	201640	Transferred Out	1
663913	201650	Transferred Out	1
663913	201730	Transferred Out	1
663913	201740	Transferred Out	1
663913	201750	Transferred Out	1
663913	201830	Transferred Out	1
663913	201840	Transferred Out	1
663913	201850	Transferred Out	1
663913	201930	Transferred Out	1
663913	201940	Transferred Out	1
663913	201950	Transferred Out	1
663913	202030	Transferred Out	1
663913	202040	Transferred Out	1
663913	202050	Transferred Out	1
663913	202130	Transferred Out	1
663913	202140	Transferred Out	1
673372	start	Starting Cohort	1
673372	201150	Freshman	1
673372	201230	Freshman	1
673372	201240	Sabbatical	1
